Safety_Violent,Safety_Prop,Gender,Race,District,Income,Edu,Age,YearsDallas,OwnHome
4,4,2,1,7,2,3,2,26,1
4,4,2,3,2,1,1,5,52,2
4,3,1,2,1,3,3,1,7,1
4,4,1,1,6,1,1,2,24,2
5,5,2,1,6,1,1,2,37,2
3,3,2,3,14,3,3,1,22,2
3,4,1,3,1,4,3,1,10,1
3,3,2,3,1,1,2,1,20,1
3,2,2,2,9,2,3,4,36,2
9,3,2,3,6,9,1,5,82,2
2,2,1,3,12,2,3,1,11,1
2,2,2,1,6,2,3,4,50,2
2,1,2,3,6,2,2,2,40,1
3,2,2,2,1,3,3,2,40,2
3,3,2,1,7,1,2,5,34,1
1,2,2,3,6,1,3,1,22,2
4,4,1,2,9,5,3,4,33,2
1,1,2,1,7,9,3,2,43,2
5,4,1,1,7,5,2,5,73,2
4,2,1,1,8,1,3,1,29,1
3,3,1,3,1,1,1,1,34,2
2,9,2,1,8,9,2,3,39,2
2,2,1,1,7,5,1,5,50,2
1,1,2,1,4,2,3,1,21,2
4,4,2,1,8,3,3,2,40,1
1,1,1,1,7,2,2,2,41,2
2,2,2,3,1,1,2,4,46,1
9,2,2,3,1,1,1,5,67,2
2,3,1,3,1,1,3,2,40,2
1,1,1,1,7,9,3,2,30,1
2,2,2,1,7,1,1,3,53,1
9,9,2,3,3,2,1,1,24,1
9,3,1,3,6,3,2,2,26,2
3,3,1,3,6,1,1,5,60,2
3,2,1,1,7,1,1,5,71,1
3,3,2,3,14,3,3,1,24,2
4,4,2,3,6,2,3,3,44,1
1,1,1,3,1,2,1,1,20,2
9,2,1,1,7,3,3,5,70,1
9,9,2,3,3,2,2,1,29,2
9,9,1,3,6,1,1,3,38,1
3,4,2,3,2,2,3,1,19,1
4,3,1,2,2,5,3,2,26,1
2,3,2,3,6,1,2,2,40,1
1,1,1,1,7,2,2,4,57,1
2,1,1,1,7,4,3,1,28,1
9,2,2,1,3,3,3,1,1,2
1,1,2,1,2,1,3,1,24,2
4,4,2,3,7,2,3,1,20,1
3,2,2,3,7,4,3,5,50,2
3,2,1,3,6,2,2,2,25,2
2,2,1,3,6,1,2,2,23,1
5,5,1,3,1,1,3,2,30,1
1,1,2,9,7,2,2,2,34,2
3,3,1,1,3,5,3,4,41,2
9,3,2,1,8,3,3,3,22,2
2,2,1,3,7,1,1,1,17,1
1,2,1,1,7,1,3,4,62,2
3,2,2,3,2,2,2,1,27,1
3,4,1,2,5,3,3,4,30,1
4,3,1,3,4,9,3,2,42,2
2,2,1,3,12,3,3,2,15,2
9,9,2,1,7,9,2,4,62,1
4,2,1,3,1,2,3,1,12,2
3,3,2,1,5,3,2,3,40,1
3,2,1,1,8,3,3,4,54,1
2,2,2,1,8,2,3,4,52,2
4,3,1,3,7,1,1,4,60,2
1,2,1,1,8,4,3,3,40,1
3,9,1,1,8,4,3,5,999,1
2,2,2,3,1,1,3,2,44,2
1,2,2,3,1,9,3,1,21,1
3,3,1,2,3,5,3,3,50,1
3,3,1,3,1,3,3,3,39,1
9,9,2,2,14,5,3,1,0,2
2,2,2,1,7,3,3,1,4,2
3,3,1,3,6,1,3,1,15,2
5,5,2,3,1,1,2,5,75,1
2,1,2,1,7,1,1,4,55,2
3,4,1,3,2,2,2,4,44,1
5,3,1,3,14,4,3,1,10,2
1,2,2,1,7,2,2,4,58,1
1,1,1,3,6,1,1,4,62,2
3,3,2,2,14,5,3,1,20,1
3,3,2,3,14,5,3,5,5,2
4,4,2,1,3,3,3,4,60,1
4,1,2,2,12,5,3,1,10,1
2,2,1,1,7,3,3,2,7,1
3,3,1,3,2,1,1,5,0,1
3,3,2,3,1,2,3,1,22,2
3,3,1,1,7,1,3,5,55,1
2,2,2,3,1,3,3,1,28,1
3,3,1,1,8,3,3,2,16,2
1,1,1,3,8,3,3,3,30,2
3,1,2,1,3,3,3,1,18,1
2,2,1,2,2,3,3,3,11,2
4,4,1,3,12,2,2,1,20,1
1,1,1,3,1,9,1,2,30,2
1,1,1,3,6,2,2,2,17,2
4,4,2,3,13,2,3,2,17,1
1,1,2,3,2,2,3,3,42,1
3,3,1,3,4,2,2,3,44,1
2,3,1,3,1,9,3,5,32,1
5,5,2,1,7,2,3,4,51,1
2,1,1,1,5,2,3,3,52,1
2,2,1,1,7,2,3,2,31,1
3,3,2,1,13,2,2,4,45,1
2,2,2,1,7,2,3,3,51,1
1,1,1,1,3,4,3,2,30,1
1,1,1,3,13,2,3,2,35,1
3,3,2,3,13,2,1,3,35,2
1,1,2,3,13,4,3,2,39,2
2,2,2,3,13,2,2,1,30,2
4,4,1,3,9,4,3,4,50,1
4,4,1,3,1,9,3,4,61,2
4,2,2,3,2,1,3,4,39,1
3,2,1,1,12,4,3,1,4,1
3,2,2,3,14,4,3,1,4,2
2,3,2,2,13,1,3,4,999,1
2,3,2,1,7,1,1,4,48,2
2,2,2,3,1,2,2,4,60,1
3,3,1,3,6,1,1,1,17,2
3,2,1,3,1,2,2,1,24,2
1,2,2,3,8,2,3,1,16,2
1,2,1,4,3,1,3,4,48,1
2,2,1,2,14,3,3,1,6,1
5,5,2,3,1,1,1,5,35,1
2,3,2,3,1,9,2,5,74,1
3,3,1,2,14,3,3,5,35,1
4,9,1,3,14,5,3,5,16,9
1,3,2,1,6,2,3,9,10,2
3,3,2,1,6,2,2,2,40,1
5,5,1,1,7,3,3,3,46,1
9,9,1,1,7,9,3,4,55,1
2,2,2,1,13,4,3,2,26,1
2,2,2,3,1,3,3,2,0,1
2,2,2,3,13,9,3,3,41,1
4,4,1,3,4,2,1,1,20,2
1,1,1,3,6,9,1,1,27,1
1,1,2,3,6,1,3,1,22,9
2,2,1,1,7,2,3,3,46,1
9,3,2,1,4,3,3,3,34,1
3,2,1,3,6,9,3,1,25,1
9,3,1,3,4,2,1,2,999,1
1,2,1,3,13,1,2,5,76,1
